;Price;Return
19/10/2021;79.169998;0.017455944
20/10/2021;78.580002;-0.007480174
21/10/2021;83.190002;0.057009933
22/10/2021;83.980003;0.009451539
25/10/2021;83.209999;-0.00921119
26/10/2021;80.889999;-0.028277326
27/10/2021;80.68;-0.002599482
28/10/2021;82.75;0.025333301
29/10/2021;84.019997;0.015230816
01/11/2021;81.139999;-0.034878785
02/11/2021;79.589996;-0.019287639
03/11/2021;78.360001;-0.015574801
04/11/2021;82.529999;0.051848246
05/11/2021;77.989998;-0.056581264
08/11/2021;77;-0.012775166
09/11/2021;109.519997;0.352301732
10/11/2021;95.260002;-0.139497137
11/11/2021;98.120003;0.029581234
12/11/2021;107.580002;0.092043525
15/11/2021;108.059998;0.004451834
16/11/2021;116.18;0.072454103
17/11/2021;124.699997;0.070770116
18/11/2021;126.120003;0.01132303
19/11/2021;134.720001;0.065964699
22/11/2021;120.220001;-0.113875152
23/11/2021;114.870003;-0.045522326
24/11/2021;124.230003;0.07833363
26/11/2021;122.650002;-0.012799923
29/11/2021;129.360001;0.053264436
30/11/2021;126.099998;-0.025523996
01/12/2021;113.410004;-0.106065621
02/12/2021;116.919998;0.030480317
03/12/2021;113.790001;-0.02713527
06/12/2021;113.25;-0.004756889
07/12/2021;115.989998;0.023906199
08/12/2021;124.779999;0.073048215
09/12/2021;116.300003;-0.070379093
10/12/2021;115.889999;-0.003531629
13/12/2021;111.769997;-0.036198295
14/12/2021;107.669998;-0.037372186
15/12/2021;97.949997;-0.094613861
16/12/2021;95.209999;-0.028372146
17/12/2021;102.400002;0.072801764
20/12/2021;98.690002;-0.036903088
21/12/2021;102.589996;0.038756779
22/12/2021;102.769997;0.001753029
23/12/2021;101.82;-0.009286904
27/12/2021;105.010002;0.030849054
28/12/2021;98.739998;-0.06156549
29/12/2021;97.339996;-0.014280149
30/12/2021;100.529999;0.032246217
31/12/2021;103.160004;0.025825039
03/01/2022;98.809998;-0.043082426
04/01/2022;95.150002;-0.037744179
05/01/2022;88.540001;-0.072000176
06/01/2022;89.199997;0.007426567
07/01/2022;84.370003;-0.055669082
10/01/2022;85.519997;0.013538308
11/01/2022;89.040001;0.040335487
12/01/2022;89.059998;0.000224559
13/01/2022;80.18;-0.10503617
14/01/2022;79.050003;-0.014193506
18/01/2022;77.209999;-0.023551632
19/01/2022;76.160004;-0.013692526
20/01/2022;75.389999;-0.010161816
21/01/2022;68.93;-0.08958313
24/01/2022;70.739998;0.025919659
25/01/2022;65.290001;-0.080172255
26/01/2022;63.02;-0.035386764
27/01/2022;57.060001;-0.099348773
28/01/2022;58.18;0.01943829
31/01/2022;65.860001;0.123989639
01/02/2022;67.75;0.028293168
02/02/2022;66.169998;-0.023597302
03/02/2022;60.669998;-0.086777849
04/02/2022;63.740002;0.049363031
07/02/2022;63.060001;-0.01072567
08/02/2022;64.43;0.021492693
09/02/2022;70.480003;0.089749661
10/02/2022;69.919998;-0.007977321
11/02/2022;66.809998;-0.045498963
14/02/2022;68.32;0.022349809
15/02/2022;73.300003;0.0703581
16/02/2022;53.869999;-0.307986932
17/02/2022;54.490002;0.011443517
18/02/2022;49.720001;-0.091609949
22/02/2022;48.209999;-0.030840839
23/02/2022;45.68;-0.053905882
24/02/2022;50.099998;0.092360403
25/02/2022;50.049999;-0.000998482
28/02/2022;51.57;0.029917622
01/03/2022;50.220001;-0.026526734
02/03/2022;48.450001;-0.035881015
03/03/2022;45.240002;-0.068550664
04/03/2022;42.290001;-0.06743102
07/03/2022;41.299999;-0.023688199
08/03/2022;41.91;0.014661986
09/03/2022;44.380001;0.057264478
10/03/2022;41.470001;-0.067818642
11/03/2022;39.240002;-0.055273613
14/03/2022;36.68;-0.067465038
15/03/2022;37.869999;0.031927568
16/03/2022;41.509998;0.091775098
17/03/2022;46.349998;0.110286935
18/03/2022;49.619999;0.068172709
21/03/2022;46.619999;-0.062364346
22/03/2022;50.509998;0.080141685
23/03/2022;50.709999;0.003951813
24/03/2022;50.790001;0.001576394
25/03/2022;47.07;-0.076063649
28/03/2022;48.400002;0.027864
29/03/2022;50.919998;0.050755879
30/03/2022;48.119999;-0.056557864
31/03/2022;46.240002;-0.039852603
01/04/2022;46.02;-0.004769183
04/04/2022;50.02;0.083346841
05/04/2022;49.029999;-0.01999059
06/04/2022;45.889999;-0.066185129
07/04/2022;44.73;-0.025602789
08/04/2022;43.099998;-0.037121467
11/04/2022;44.02;0.021121125
12/04/2022;43;-0.02344396
13/04/2022;44.970001;0.044795507
14/04/2022;42.360001;-0.059791079
18/04/2022;40.849998;-0.036297772
19/04/2022;42;0.027762846
20/04/2022;36.75;-0.133531393
21/04/2022;34.610001;-0.059995539
22/04/2022;34.349998;-0.007540726
25/04/2022;34.610001;0.007540726
26/04/2022;31.76;-0.08593505
27/04/2022;30.360001;-0.045081651
28/04/2022;32.110001;0.056041554
29/04/2022;30.65;-0.046534877
02/05/2022;32.68;0.064130608
03/05/2022;33.099998;0.012769952
04/05/2022;34.880001;0.052380406
05/05/2022;30.440001;-0.136156062
06/05/2022;27.809999;-0.090361934
09/05/2022;24.610001;-0.122242727
10/05/2022;23.190001;-0.059431711
11/05/2022;23.969999;0.033081812
12/05/2022;28.58;0.175904166
13/05/2022;32.970001;0.142890915
16/05/2022;32.139999;-0.025496758
17/05/2022;31.940001;-0.006242155
18/05/2022;32.549999;0.018918164
19/05/2022;34.349998;0.053824623
20/05/2022;31.6;-0.08344484
23/05/2022;30.059999;-0.04996177
24/05/2022;27.07;-0.104769247
25/05/2022;28.93;0.066453015
26/05/2022;30.59;0.055794039
27/05/2022;31.809999;0.039107516
31/05/2022;29.940001;-0.060585262
01/06/2022;28.940001;-0.033970657
02/06/2022;33.48;0.14572349
03/06/2022;30;-0.109750864
06/06/2022;31.16;0.037937839
07/06/2022;31.440001;0.008945778
08/06/2022;32.830002;0.043261793
09/06/2022;30.5;-0.073616109
10/06/2022;27.76;-0.094130548
13/06/2022;26.459999;-0.047962015
14/06/2022;26.120001;-0.012932778
15/06/2022;28.9;0.101140252
16/06/2022;24.690001;-0.157443251
17/06/2022;26.870001;0.084612116
21/06/2022;29.639999;0.098114307
22/06/2022;31.120001;0.048725965
23/06/2022;34.48;0.102528714
24/06/2022;36.419998;0.054738574
27/06/2022;35.93;-0.013545418
28/06/2022;34.490002;-0.040903116
29/06/2022;34.02;-0.013720898
30/06/2022;32.860001;-0.034692444
01/07/2022;35.07;0.065089921
05/07/2022;39.990002;0.131283409
06/07/2022;37.950001;-0.052359943
07/07/2022;39.52;0.040537343
08/07/2022;41.25;0.04284424
11/07/2022;38.41;-0.07133327
12/07/2022;38.220001;-0.004958877
13/07/2022;37.080002;-0.03028117
14/07/2022;37.490002;0.010996489
15/07/2022;39.77;0.059038575
18/07/2022;39.75;-0.000503018
19/07/2022;39.849998;0.002512514
20/07/2022;40.759998;0.022578804
21/07/2022;41.919998;0.028061833
22/07/2022;39.400002;-0.061997125
25/07/2022;39.84;0.011105566
26/07/2022;39;-0.021309787
27/07/2022;41.950001;0.072916811
28/07/2022;42.98;0.024256434
29/07/2022;42.93;-0.001164009
01/08/2022;45.240002;0.052410813
02/08/2022;45.290001;0.001104584
03/08/2022;47;0.037061322
04/08/2022;47.959999;0.020219708
05/08/2022;49.240002;0.026339033
08/08/2022;48.900002;-0.006928905
09/08/2022;47.349998;-0.03221066
10/08/2022;48.009998;0.013842503
11/08/2022;49.560001;0.031774796
12/08/2022;51.150002;0.031578455
15/08/2022;48.959999;-0.043758914
16/08/2022;47.759998;-0.024815191
17/08/2022;46.099998;-0.035375521
18/08/2022;45.09;-0.022152414
19/08/2022;42.68;-0.054930066
22/08/2022;41.5;-0.028036999
23/08/2022;41.07;-0.010415499
24/08/2022;41.18;0.002674774
25/08/2022;41.470001;0.007017597
26/08/2022;39.560001;-0.047151766
29/08/2022;39.220001;-0.008631686
30/08/2022;39.029999;-0.004856291
31/08/2022;39.110001;0.002047659
01/09/2022;38.509998;-0.015460318
02/09/2022;37.939999;-0.014911958
06/09/2022;37.91;-0.000791009
07/09/2022;39.939999;0.052163373
08/09/2022;41.860001;0.046952438
09/09/2022;45.529999;0.084040686
12/09/2022;46.57;0.02258513
13/09/2022;43.869999;-0.059725865
14/09/2022;45.07;0.026986144
15/09/2022;43.5;-0.035455899
16/09/2022;39.5;-0.096460266
19/09/2022;37.110001;-0.06241417
20/09/2022;36.41;-0.01904304
21/09/2022;35.810001;-0.01661625
22/09/2022;35.259998;-0.015478092
23/09/2022;35.540001;0.007909731
26/09/2022;35.549999;0.000281277
27/09/2022;36.59;0.028834851
28/09/2022;38.040001;0.038863285
29/09/2022;35.380001;-0.072491547
30/09/2022;35.84;0.012917871
03/10/2022;36.41;0.015778874
04/10/2022;38.68;0.060479208
05/10/2022;38;-0.017736511
06/10/2022;39.150002;0.029814314
07/10/2022;34.82;-0.117208539
10/10/2022;35.400002;0.016519942
11/10/2022;34.560001;-0.024014904
12/10/2022;37.189999;0.073342908
13/10/2022;37.919998;0.019438744
14/10/2022;35.560001;-0.064257186
17/10/2022;42.610001;0.180867552
18/10/2022;43.380001;0.017909537
19/10/2022;41.439999;-0.045751955
20/10/2022;42.57;0.026903206
21/10/2022;42.810001;0.005621964
24/10/2022;41.849998;-0.022679994
25/10/2022;45.709999;0.088225321
26/10/2022;45.5;-0.004604745
27/10/2022;46.5;0.021739987
28/10/2022;45.779999;-0.01560502
31/10/2022;44.740002;-0.022979292
01/11/2022;44.310001;-0.009657593
02/11/2022;42.869999;-0.03303815
03/11/2022;43.299999;0.009980355
04/11/2022;40.580002;-0.064877228
07/11/2022;39.82;-0.018906085
08/11/2022;39.139999;-0.017224362
09/11/2022;30.92;-0.235741713
10/11/2022;33.73;0.086984425
11/11/2022;36.740002;0.085478485
14/11/2022;35.599998;-0.031520553
15/11/2022;36.73;0.031248278
16/11/2022;34.41;-0.06524664
17/11/2022;32.529999;-0.05618451
18/11/2022;31.719999;-0.025215345
21/11/2022;30.77;-0.030407176
22/11/2022;30.84;0.002272359
23/11/2022;32;0.036923354
25/11/2022;31.76;-0.007528266
28/11/2022;30.879999;-0.028098944
29/11/2022;29.83;-0.034594094
30/11/2022;31.77;0.06300785
01/12/2022;33.389999;0.049733976
02/12/2022;33.990002;0.017809999
05/12/2022;31.24;-0.084367098
06/12/2022;30.65;-0.019066663
07/12/2022;30.77;0.003907527
08/12/2022;31.93;0.037005817
09/12/2022;31.65;-0.008807858
12/12/2022;33.32;0.051419669
13/12/2022;32.25;-0.032639774
14/12/2022;33.130001;0.026921203
15/12/2022;27.91;-0.171454199
16/12/2022;27.620001;-0.010444863
19/12/2022;27.190001;-0.015690889
20/12/2022;27.58;0.014241577
21/12/2022;28.09;0.018322769
22/12/2022;26.43;-0.060913912
23/12/2022;26.75;0.012034745
27/12/2022;26.33;-0.0158255
28/12/2022;26.16;-0.006477447
29/12/2022;27.09;0.03493313
30/12/2022;28.459999;0.049334901
03/01/2023;27.85;-0.021666591
04/01/2023;29.040001;0.041841258
05/01/2023;29.98;0.031856268
06/01/2023;28.879999;-0.037381213
09/01/2023;30.77;0.06339091
10/01/2023;32.009998;0.039508102
11/01/2023;32.900002;0.027424427
12/01/2023;33.18;0.008474566
13/01/2023;33.209999;0.000903721
17/01/2023;37.119999;0.111304876
18/01/2023;35.759998;-0.037325987
19/01/2023;33.41;-0.067974638
20/01/2023;35.380001;0.057291461
23/01/2023;36.509998;0.031439424
24/01/2023;35.59;-0.025521441
25/01/2023;35.700001;0.003086017
26/01/2023;35.970001;0.007534569
27/01/2023;37.75;0.04830019
30/01/2023;35.529999;-0.060608094
31/01/2023;37.209999;0.046200134
01/02/2023;38.240002;0.027304625
02/02/2023;40.48;0.056925884
03/02/2023;38.540001;-0.049111336
06/02/2023;38.990002;0.011608565
07/02/2023;38.669998;-0.0082412
08/02/2023;37.509998;-0.030456543
09/02/2023;36.400002;-0.030038681
10/02/2023;34.82;-0.044376895
13/02/2023;34.43;-0.011263657
14/02/2023;35.669998;0.035381666
15/02/2023;45.080002;0.23412879
16/02/2023;43.580002;-0.033840358
17/02/2023;40.880001;-0.063957405
21/02/2023;37.560001;-0.084701289
22/02/2023;37.549999;-0.000266329
23/02/2023;37.380001;-0.004537523
24/02/2023;36.959999;-0.011299609
27/02/2023;36.650002;-0.008422737
28/02/2023;36.639999;-0.00027297
01/03/2023;37.48;0.022666945
02/03/2023;39.23;0.045634303
03/03/2023;41.369999;0.053114196
06/03/2023;40.57;-0.019527079
07/03/2023;41.57;0.024349876
08/03/2023;41.349998;-0.00530638
09/03/2023;39.939999;-0.03469407
10/03/2023;40.049999;0.002750346
13/03/2023;41.41;0.033393749
14/03/2023;43.189999;0.042086566
15/03/2023;42.720001;-0.010941746
16/03/2023;45.330002;0.059301891
17/03/2023;43.689999;-0.036849889
20/03/2023;43.360001;-0.00758184
21/03/2023;44.740002;0.031330621
22/03/2023;42.849998;-0.043162402
23/03/2023;42.07;-0.018370701
24/03/2023;43.43;0.031815549
27/03/2023;42.27;-0.027072832
28/03/2023;41.849998;-0.009985865
29/03/2023;43.009998;0.027340851
30/03/2023;43.110001;0.002322412
31/03/2023;44.98;0.042462935
03/04/2023;46.419998;0.031512411
04/04/2023;46.290001;-0.002804381
05/04/2023;45.389999;-0.019634182
06/04/2023;46.200001;0.017688025
10/04/2023;46.43;0.004965982
11/04/2023;46.060001;-0.008000886
12/04/2023;45.200001;-0.018847807
13/04/2023;45.700001;0.011001211
14/04/2023;45.700001;0
17/04/2023;40.209999;-0.127982624
18/04/2023;40.810001;0.014811478
19/04/2023;41.09;0.006837609
20/04/2023;41.310001;0.005339843
21/04/2023;40.700001;-0.014876509
24/04/2023;39.060001;-0.041129166
25/04/2023;37.57;-0.038893091
26/04/2023;35.759998;-0.049375965
27/04/2023;35.540001;-0.006171044
